"","it","de","ko","ru","ja","hi","enamount"
"209",6264,2296,15,750,20221,1982,92919
"210",10695,2300,76,880,8514,1416,97475
"211",9480,2762,67,699,9983,890,84830
"212",2200,2606,474,669,8396,1310,81666
"213",5754,3482,457,1090,8309,1608,82763
"214",4637,2063,538,550,14426,901,61023
"215",6215,2621,406,444,5264,764,58221
"216",4201,2422,376,546,14660,771,60959
"217",4201,2108,240,648,12918,1153,60491
"218",6423,2362,752,499,4698,1046,59593
"219",3763,1916,1553,444,17241,1058,44783
"220",3109,1441,1167,915,7724,813,50210
"221",3109,2264,1635,825,7724,715,64479
"222",85646,3371,2483,855,7724,1092,65158
"223",93968,3371,2318,889,7724,641,84176
"224",99801,10788,2823,1070,21861,613,107938
"225",82574,15878,1930,766,16929,261,151035
"226",66549,22537,3087,1201,23070,471,163639
"227",67174,22537,2676,1325,23070,1607,261123
"228",68236,31220,3473,1389,23070,2949,307848
"229",48203,21416,2232,1003,231106,1294,314576
"301",48065,19393,2030,1112,96964,1615,225130
"302",42009,15927,1955,1291,46027,2291,279568
"303",41422,15664,4654,956,60980,9739,316501
"304",50758,14325,1617,977,46523,15298,255844
"305",66301,16485,1378,965,21596,16486,281030
"306",65822,16209,1860,900,17838,8786,298138
"307",78224,12651,1294,906,16028,6537,283280
"308",101307,17215,1252,846,30964,3632,272097
"309",153647,28665,1757,1142,18945,6050,587259
"310",129225,39401,1392,1571,15629,3430,459853
"311",124783,40244,306,361,3848,4477,728599
"312",100439,51466,451,560,4095,9732,657086
"313",95539,58010,333,618,2564,18411,829638
"314",111650,61704,319,760,4199,21835,614349
"315",96946,73780,261,633,2350,19231,837709
"316",86835,63152,314,2098,1749,25059,1100952
"317",109869,81743,364,2735,2475,30589,823964
"318",96958,76848,334,2873,2623,37545,498106
"319",86251,71543,221,1819,3400,44562,703734
"320",81761,54331,232,1292,3544,34667,740796
"321",76178,41233,322,721,3561,45896,640091
"322",78423,44190,363,1393,4094,39251,791325
"323",74598,36453,484,1999,3980,55078,849383
"324",70031,28955,340,1838,5299,58391,745147
"325",87962,36993,386,2745,5159,55197,700247
"326",81055,40197,255,3905,5512,62079,754240
"327",80585,35599,280,2964,4395,57203,656769
"328",60670,24427,183,2676,4942,38199,541255
"329",57958,19552,370,2011,3126,37125,517069
"330",61326,23575,302,2188,5147,42142,539840
"331",62715,17318,293,2040,3604,34059,508565
"401",54531,19392,209,1665,5748,22464,514846
"402",47019,18374,262,1475,4012,38898,538419
"403",8144,18027,779,2104,3989,40201,453135
"404",47632,20944,265,2223,3942,54065,444346
"405",49863,20530,238,2072,4455,46956,512487
"406",40822,14299,246,1808,3913,33507,18000
