"","X","it","de","ko","ru","ja","hi","enamount"
"1","0209",6264,2296,15,750,20221,1982,92919
"2","0210",10695,2300,76,880,8514,1416,97475
"3","0211",9480,2762,67,699,9983,890,84830
"4","0212",2200,2606,474,669,8396,1310,81666
"5","0213",5754,3482,457,1090,8309,1608,82763
"6","0214",4637,2063,538,550,14426,901,61023
"7","0215",6215,2621,406,444,5264,764,58221
"8","0216",4201,2422,376,546,14660,771,60959
"9","0217",4201,2108,240,648,12918,1153,60491
"10","0218",6423,2362,752,499,4698,1046,59593
"11","0219",3763,1916,1553,444,17241,1058,44783
"12","0220",3109,1441,1167,915,7724,813,50210
"13","0221",3109,2264,1635,825,7724,715,64479
"14","0222",85646,3371,2483,855,7724,1092,65158
"15","0223",93968,3371,2318,889,7724,641,84176
"16","0224",99801,10788,2823,1070,21861,613,107938
"17","0225",82574,15878,1930,766,16929,261,151035
"18","0226",66549,22537,3087,1201,23070,471,163639
"19","0227",67174,22537,2676,1325,23070,1607,261123
"20","0228",68236,31220,3473,1389,23070,2949,307848
"21","0229",48203,21416,2232,1003,231106,1294,314576
"22","0301",48065,19393,2030,1112,96964,1615,225130
"23","0302",42009,15927,1955,1291,46027,2291,279568
"24","0303",41422,15664,4654,956,60980,9739,316501
"25","0304",50758,14325,1617,977,46523,15298,255844
"26","0305",66301,16485,1378,965,21596,16486,281030
"27","0306",65822,16209,1860,900,17838,8786,298138
"28","0307",78224,12651,1294,906,16028,6537,283280
"29","0308",101307,17215,1252,846,30964,3632,272097
"30","0309",153647,28665,1757,1142,18945,6050,587259
"31","0310",129225,39401,1392,1571,15629,3430,459853
"32","0311",124783,40244,306,361,3848,4477,728599
"33","0312",100439,51466,451,560,4095,9732,657086
"34","0313",95539,58010,333,618,2564,18411,829638
"35","0314",111650,61704,319,760,4199,21835,614349
"36","0315",96946,73780,261,633,2350,19231,837709
"37","0316",86835,63152,314,2098,1749,25059,1100952
"38","0317",109869,81743,364,2735,2475,30589,823964
"39","0318",96958,76848,334,2873,2623,37545,498106
"40","0319",86251,71543,221,1819,3400,44562,703734
"41","0320",81761,54331,232,1292,3544,34667,740796
"42","0321",76178,41233,322,721,3561,45896,640091
"43","0322",78423,44190,363,1393,4094,39251,791325
"44","0323",74598,36453,484,1999,3980,55078,849383
"45","0324",70031,28955,340,1838,5299,58391,745147
"46","0325",87962,36993,386,2745,5159,55197,700247
"47","0326",81055,40197,255,3905,5512,62079,754240
"48","0327",80585,35599,280,2964,4395,57203,656769
"49","0328",60670,24427,183,2676,4942,38199,541255
"50","0329",57958,19552,370,2011,3126,37125,517069
"51","0330",61326,23575,302,2188,5147,42142,539840
"52","0331",62715,17318,293,2040,3604,34059,508565
"53","0401",54531,19392,209,1665,5748,22464,514846
"54","0402",47019,18374,262,1475,4012,38898,538419
"55","0403",45605,18027,779,2104,3989,40201,453135
"56","0404",47632,20944,265,2223,3942,54065,444346
"57","0405",49863,20530,238,2072,4455,46956,512487
"58","0406",40822,14299,246,1808,3913,33507,18000
"59","0407",39631,12239,198,991,5075,24773,0
"60","0408",41863,12256,303,1181,5639,21733,0
"61","0409",37678,15274,205,1125,3702,18318,0
"62","0410",32803,13328,177,958,2928,24383,0
"63","0411",32490,10213,233,1649,3380,24722,0
"64","0412",29514,10383,221,1579,2260,19609,0
"65","0413",40955,15304,310,1943,2462,25539,0
"66","0414",38248,15638,308,1542,2395,31653,0
"67","0415",32975,13132,18,1409,2462,19347,0
"68","0416",33452,11143,170,1400,2363,14745,0
"69","0417",30186,12266,213,1456,2388,21005,0
"70","0418",27997,9059,230,620,1689,18246,0
