"","init_dates","it","de","ko","ru","ja","hi"
"1","0209",6264,2296,15,750,20221,1982
"2","0210",10695,2300,76,880,8514,1416
"3","0211",9480,2762,67,699,9983,890
"4","0212",2200,2606,474,669,8396,1310
"5","0213",5754,3482,457,1090,8309,1608
"6","0214",4637,2063,538,550,14426,901
"7","0215",6215,2621,406,444,5264,764
"8","0216",4201,2422,376,546,14660,771
"9","0217",4201,2108,240,648,12918,1153
"10","0218",6423,2362,752,499,4698,1046
"11","0219",3763,1916,1553,444,17241,1058
"12","0220",3109,1441,1167,915,7724,813
"13","0221",3109,2264,1635,825,7724,715
"14","0222",85646,3371,2483,855,7724,1092
"15","0223",93968,3371,2318,889,7724,641
"16","0224",99801,10788,2823,1070,21861,613
"17","0225",82574,15878,1930,766,16929,261
"18","0226",66549,22537,3087,1201,23070,471
"19","0227",67174,22537,2676,1325,23070,1607
"20","0228",68236,31220,3473,1389,23070,2949
"21","0229",48203,21416,2232,1003,231106,1294
"22","0301",48065,19393,2030,1112,96964,1615
"23","0302",42009,15927,1955,1291,46027,2291
"24","0303",41422,15664,4654,956,60980,9739
"25","0304",50758,14325,1617,977,46523,15298
"26","0305",66301,16485,1378,965,21596,16486
"27","0306",65822,16209,1860,900,17838,8786
"28","0307",78224,12651,1294,906,16028,6537
"29","0308",101307,17215,1252,846,30964,3632
"30","0309",153647,28665,1757,1142,18945,6050
"31","0310",129225,39401,1392,1571,15629,3430
"32","0311",124783,40244,306,361,3848,4477
"33","0312",100439,51466,451,560,4095,9732
"34","0313",95539,58010,333,618,2564,18411
"35","0314",111650,61704,319,760,4199,21835
"36","0315",96946,73780,261,633,2350,19231
"37","0316",86835,63152,314,2098,1749,25059
"38","0317",109869,81743,364,2735,2475,30589
"39","0318",96958,76848,334,2873,2623,37545
"40","0319",86251,71543,221,1819,3400,44562
"41","0320",81761,54331,232,1292,3544,34667
"42","0321",76178,41233,322,721,3561,45896
"43","0322",78423,44190,363,1393,4094,39251
"44","0323",74598,36453,484,1999,3980,55078
"45","0324",70031,28955,340,1838,5299,58391
"46","0325",87962,36993,386,2745,5159,55197
"47","0326",81055,40197,255,3905,5512,62079
"48","0327",80585,35599,280,2964,4395,57203
"49","0328",60670,24427,183,2676,4942,38199
"50","0329",57958,19552,370,2011,3126,37125
"51","0330",61326,23575,302,2188,5147,42142
"52","0331",62715,17318,293,2040,3604,34059
"53","0401",54531,19392,209,1665,5748,22464
"54","0402",47019,18374,262,1475,4012,38898
"55","0403",49761,18027,779,2104,3989,40201
"56","0404",47632,20944,265,2223,3942,54065
"57","0405",49863,20530,238,2072,4455,46956
"58","0406",40822,14299,246,1808,3913,33507
"59","0407",39631,12239,198,991,5075,24773
"60","0408",41863,12256,303,1181,5639,21733
"61","0409",37678,15274,205,1125,3702,18318
"62","0410",32803,13328,177,958,2928,24383
"63","0411",32490,10213,233,1649,3380,24722
"64","0412",29514,10383,221,1579,2260,19609
"65","0413",40955,15304,310,1943,2462,25539
"66","0414",38248,15638,308,1542,2395,31653
"67","0415",32975,13132,18,1409,2462,19347
"68","0416",33452,11143,170,1400,2363,14745
"69","0417",30186,12266,213,1456,2388,21005
"70","0418",27997,9059,230,620,1689,18246
"71","0419",26534,8259,2286,528,1758,17607
"72","0420",30013,11906,241,753,2150,15184
"73","0421",29188,11607,112,910,1658,17610
