"","Af1","Af2","Am1","Am2","Am3","As1","As2","As3","As4","As5","Au","De","Eu1","Eu2","Eu3","Eu4","Eu5","Eu6","Eu7","Hi","It","Ja","Ko","Ru"
"X1.22.20",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.23.20",0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.24.20",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.25.20",0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.26.20",0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.27.20",0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.28.20",0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.29.20",0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.30.20",0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.31.20",0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.1.20",0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.2.20",0,0,0,0,0,0,0,0,361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.3.20",0,0,0,0,0,0,0,0,425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.4.20",0,0,0,0,0,0,0,0,491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.5.20",0,0,0,0,0,0,0,0,563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.6.20",0,0,0,0,0,0,0,0,633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.7.20",0,0,0,0,0,0,0,0,718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.8.20",0,0,0,0,0,0,0,0,805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.9.20",0,0,0,0,0,0,0,0,905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.10.20",0,0,0,0,0,0,0,0,1012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.11.20",0,0,0,0,0,0,0,0,1112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.12.20",0,0,0,0,0,0,0,0,1117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2.13.20",0,0,0,0,0,0,0,0,1369,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"X2.14.20",0,0,0,0,0,0,0,0,1521,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"X2.15.20",0,0,0,0,0,0,0,0,1663,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"X2.16.20",0,0,0,0,0,0,0,0,1767,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"X2.17.20",0,0,0,0,0,0,0,0,1865,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"X2.18.20",0,0,0,0,0,0,0,0,2004,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"X2.19.20",0,0,0,0,0,2,0,0,2117,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"X2.20.20",0,2,0,0,0,2,0,0,2239,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"X2.21.20",0,2,0,0,0,4,0,0,2239,1,0,0,0,1,0,0,0,0,0,0,1,1,2,0
"X2.22.20",0,2,0,0,0,5,0,0,2444,1,0,0,0,1,0,0,0,0,0,0,2,1,2,0
"X2.23.20",0,3,0,0,0,8,0,0,2446,1,0,0,0,1,0,0,0,0,0,0,3,1,6,0
"X2.24.20",0,3,0,0,0,12,0,0,2596,1,0,0,0,1,0,0,0,0,0,0,7,1,8,0
"X2.25.20",0,3,0,0,0,16,0,0,2666,1,0,0,0,1,0,0,0,0,0,0,10,1,10,0
"X2.26.20",0,4,0,0,0,19,0,0,2718,1,0,0,0,2,0,0,0,0,0,0,12,2,12,0
"X2.27.20",0,4,0,0,0,26,0,0,2747,1,0,0,0,2,0,0,0,0,0,0,17,4,13,0
