"","Af1","Af2","Am1","Am2","Am3","As1","As2","As3","As4","As5","Au","De","Eu1","Eu2","Eu3","Eu4","Eu5","Eu6","Eu7","Hi","It","Ja","Ko","Ru"
"X1.22.20",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.23.20",0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.24.20",0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.25.20",0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.26.20",0,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"X1.27.20",0,0,0,0,0,0,0,0,58,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"X1.28.20",0,0,0,0,0,0,0,0,101,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"X1.29.20",0,0,0,0,0,0,0,0,120,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"X1.30.20",0,0,0,0,0,0,0,0,135,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"X1.31.20",0,0,0,0,0,0,0,0,214,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"X2.1.20",0,0,0,0,0,0,0,0,275,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"X2.2.20",0,0,0,0,0,0,0,0,463,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"X2.3.20",0,0,0,0,0,0,0,0,614,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"X2.4.20",0,0,0,0,0,0,0,0,843,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"X2.5.20",0,0,0,0,0,0,0,0,1115,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"X2.6.20",0,0,0,0,0,0,0,0,1478,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"X2.7.20",0,0,0,0,0,0,0,0,2000,7,2,0,0,0,0,0,0,0,0,0,0,1,1,0
"X2.8.20",0,0,0,0,0,0,0,1,2597,14,2,0,0,0,0,0,0,0,0,0,0,1,1,0
"X2.9.20",0,0,3,0,0,0,0,1,3220,14,2,0,0,0,0,0,0,0,0,0,0,1,3,0
"X2.10.20",0,0,3,0,0,0,0,1,3919,14,2,0,0,0,0,0,0,0,0,0,0,4,3,0
