"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X1.22.20",1,0,0,0,0,0,2.0397883647771e-05,0,0,1,0,0,0,0,0
"X1.23.20",1,0,0,0,0,0,2.0397883647771e-05,0,0,1,0,0,0,0,0
"X1.24.20",2,0,0,1,0,0,4.0795767295542e-05,0,0,2,0,0,0,0,0
"X1.25.20",2,0,0,0,0,0,4.0795767295542e-05,0,0,2,0,0,0,0,0
"X1.26.20",6,0,0,4,0,0,0.000122387301886626,0,0,6,0,0,0,0,0
"X1.27.20",6,0,0,0,0,0,0.000122387301886626,0,0,6,0,0,0,0,0
"X1.28.20",7,0,0,1,0,0,0.000142785185534397,0,0,7,0,0,0,0,0
"X1.29.20",7,0,0,0,0,0,0.000142785185534397,0,0,7,0,0,0,0,0
"X1.30.20",7,0,0,0,0,0,0.000142785185534397,0,0,7,0,0,0,0,0
"X1.31.20",11,0,0,4,0,0,0.000224376720125481,0,0,11,0,0,0,0,0
"X2.1.20",12,0,0,1,0,0,0.000244774603773252,0,0,12,0.25,0,0,0,0
"X2.2.20",12,0,0,0,0,0,0.000244774603773252,0,0,12,0,0,0,0,0
"X2.3.20",15,0,0,3,0,0,0.000305968254716565,0,0,15,0,0,0,0,0
"X2.4.20",15,0,0,0,0,0,0.000305968254716565,0,0,15,0,0,0,0,0
"X2.5.20",16,0,0,1,0,0,0.000326366138364336,0,0,16,0,0,0,0,0
"X2.6.20",16,0,0,0,0,0,0.000326366138364336,0,0,16,0,0,0,0,0
"X2.7.20",18,0,0,2,0,0,0.000367161905659878,0,0,18,0,0,0,0,0
"X2.8.20",18,0,0,0,0,0,0.000367161905659878,0,0,18,0,0,0,0,0
"X2.9.20",18,3,0,0,3,0,0.000367161905659878,6.1193650943313e-05,0,15,0,0,0.166666666666667,3,3
"X2.10.20",18,3,0,0,0,0,0.000367161905659878,6.1193650943313e-05,0,15,0,0,0.166666666666667,0,3
"X2.11.20",19,3,0,1,0,0,0.000387559789307649,6.1193650943313e-05,0,16,0,0,0.157894736842105,0,3
"X2.12.20",19,4,0,0,1,0,0.000387559789307649,8.1591534591084e-05,0,15,0,0,0.210526315789474,1,4
"X2.13.20",20,4,0,1,0,0,0.00040795767295542,8.1591534591084e-05,0,16,0,0,0.2,0,4
"X2.14.20",20,4,0,0,0,0,0.00040795767295542,8.1591534591084e-05,0,16,0,0,0.2,0,4
"X2.15.20",20,4,0,0,0,0,0.00040795767295542,8.1591534591084e-05,0,16,0,0,0.2,0,4
"X2.16.20",20,4,0,0,0,0,0.00040795767295542,8.1591534591084e-05,0,16,0,0,0.2,0,4
"X2.17.20",21,4,0,1,0,0,0.000428355556603191,8.1591534591084e-05,0,17,0,0,0.19047619047619,0,4
"X2.18.20",21,4,0,0,0,0,0.000428355556603191,8.1591534591084e-05,0,17,0,0,0.19047619047619,0,4
"X2.19.20",21,4,0,0,0,0,0.000428355556603191,8.1591534591084e-05,0,17,0,0,0.19047619047619,0,4
"X2.20.20",21,4,0,0,0,0,0.000428355556603191,8.1591534591084e-05,0,17,0,0,0.19047619047619,0,4
"X2.21.20",24,8,0,3,4,0,0.000489549207546504,0.000163183069182168,0,16,0,0,0.333333333333333,4,8
