"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X1.22.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.23.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.24.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.25.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.26.20",4,0,0,4,0,0,0.00104403088003216,0,0,4,0,0,0,0,0
"X1.27.20",5,0,0,1,0,0,0.0013050386000402,0,0,5,0.25,0,0,0,0
"X1.28.20",5,0,0,0,0,0,0.0013050386000402,0,0,5,0,0,0,0,0
"X1.29.20",6,0,0,1,0,0,0.00156604632004824,0,0,6,0,0,0,0,0
"X1.30.20",9,2,0,3,2,0,0.00234906948007236,0.00052201544001608,0,7,3,0,0.222222222222222,2,2
"X1.31.20",9,2,0,0,0,0,0.00234906948007236,0.00052201544001608,0,7,0,0,0.222222222222222,0,2
"X2.1.20",12,2,0,3,0,0,0.00313209264009648,0.00052201544001608,0,10,0,0,0.166666666666667,0,2
"X2.2.20",12,2,0,0,0,0,0.00313209264009648,0.00052201544001608,0,10,0,0,0.166666666666667,0,2
"X2.3.20",12,2,0,0,0,0,0.00313209264009648,0.00052201544001608,0,10,0,0,0.166666666666667,0,2
"X2.4.20",13,2,0,1,0,0,0.00339310036010452,0.00052201544001608,0,11,0,0,0.153846153846154,0,2
"X2.5.20",13,2,0,0,0,0,0.00339310036010452,0.00052201544001608,0,11,0,0,0.153846153846154,0,2
"X2.6.20",14,2,0,1,0,0,0.00365410808011256,0.00052201544001608,0,12,0,0,0.142857142857143,0,2
"X2.7.20",15,2,0,1,0,0,0.0039151158001206,0.00052201544001608,0,13,1,0,0.133333333333333,0,2
"X2.8.20",15,2,0,0,0,0,0.0039151158001206,0.00052201544001608,0,13,0,0,0.133333333333333,0,2
"X2.9.20",15,2,0,0,0,0,0.0039151158001206,0.00052201544001608,0,13,0,0,0.133333333333333,0,2
"X2.10.20",15,2,0,0,0,0,0.0039151158001206,0.00052201544001608,0,13,0,0,0.133333333333333,0,2
