"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X1.22.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.23.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.24.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.25.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.26.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.27.20",1,0,0,1,0,0,0.000100640471937793,0,0,1,0,0,0,0,0
"X1.28.20",4,0,0,3,0,0,0.000402561887751173,0,0,4,3,0,0,0,0
"X1.29.20",4,0,0,0,0,0,0.000402561887751173,0,0,4,0,0,0,0,0
"X1.30.20",4,0,0,0,0,0,0.000402561887751173,0,0,4,0,0,0,0,0
"X1.31.20",5,0,0,1,0,0,0.000503202359688966,0,0,5,0,0,0,0,0
"X2.1.20",8,0,0,3,0,0,0.000805123775502346,0,0,8,3,0,0,0,0
"X2.2.20",10,0,0,2,0,0,0.00100640471937793,0,0,10,0.666666666666667,0,0,0,0
"X2.3.20",12,0,0,2,0,0,0.00120768566325352,0,0,12,1,0,0,0,0
"X2.4.20",12,0,0,0,0,0,0.00120768566325352,0,0,12,0,0,0,0,0
"X2.5.20",12,0,0,0,0,0,0.00120768566325352,0,0,12,0,0,0,0,0
"X2.6.20",12,0,0,0,0,0,0.00120768566325352,0,0,12,0,0,0,0,0
"X2.7.20",13,0,0,1,0,0,0.00130832613519131,0,0,13,0,0,0,0,0
"X2.8.20",13,0,0,0,0,0,0.00130832613519131,0,0,13,0,0,0,0,0
"X2.9.20",14,0,0,1,0,0,0.00140896660712911,0,0,14,0,0,0,0,0
"X2.10.20",14,0,0,0,0,0,0.00140896660712911,0,0,14,0,0,0,0,0
"X2.11.20",16,0,0,2,0,0,0.00161024755100469,0,0,16,0,0,0,0,0
"X2.12.20",16,0,0,0,0,0,0.00161024755100469,0,0,16,0,0,0,0,0
"X2.13.20",16,1,0,0,1,0,0.00161024755100469,0.000100640471937793,0,15,0,0,0.0625,1,1
"X2.14.20",16,1,0,0,0,0,0.00161024755100469,0.000100640471937793,0,15,0,0,0.0625,0,1
