"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X1.22.2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.23.2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.24.2020",2,0,0,2,0,0,0.000212440658817997,0,0,2,0,0,0,0,0
"X1.25.2020",3,0,0,1,0,0,0.000318660988226995,0,0,3,0,0,0,0,0
"X1.26.2020",3,0,0,0,0,0,0.000318660988226995,0,0,3,0,0,0,0,0
"X1.27.2020",3,0,0,0,0,0,0.000318660988226995,0,0,3,0,0,0,0,0
"X1.28.2020",4,0,0,1,0,0,0.000424881317635994,0,0,4,0,0,0,0,0
"X1.29.2020",5,0,0,1,0,0,0.000531101647044992,0,0,5,0,0,0,0,0
"X1.30.2020",5,0,0,0,0,0,0.000531101647044992,0,0,5,0,0,0,0,0
"X1.31.2020",5,0,0,0,0,0,0.000531101647044992,0,0,5,0,0,0,0,0
"X2.1.2020",6,0,0,1,0,0,0.000637321976453991,0,0,6,0,0,0,0,0
"X2.2.2020",6,0,0,0,0,0,0.000637321976453991,0,0,6,0,0,0,0,0
"X2.3.2020",6,0,0,0,0,0,0.000637321976453991,0,0,6,0,0,0,0,0
"X2.4.2020",7,0,0,1,0,0,0.000743542305862989,0,0,7,0,0,0,0,0
"X2.5.2020",7,0,0,0,0,0,0.000743542305862989,0,0,7,0,0,0,0,0
"X2.6.2020",7,0,0,0,0,0,0.000743542305862989,0,0,7,0,0,0,0,0
"X2.7.2020",7,0,0,0,0,0,0.000743542305862989,0,0,7,0,0,0,0,0
"X2.8.2020",12,0,0,5,0,0,0.00127464395290798,0,0,12,0,0,0,0,0
"X2.9.2020",12,0,0,0,0,0,0.00127464395290798,0,0,12,0,0,0,0,0
"X2.10.2020",12,0,0,0,0,0,0.00127464395290798,0,0,12,0,0,0,0,0
"X2.11.2020",12,0,0,0,0,0,0.00127464395290798,0,0,12,0,0,0,0,0
"X2.12.2020",12,2,0,0,2,0,0.00127464395290798,0.000212440658817997,0,10,1,0,0.166666666666667,2,2
"X2.13.2020",12,2,0,0,0,0,0.00127464395290798,0.000212440658817997,0,10,0,0,0.166666666666667,0,2
"X2.14.2020",12,2,0,0,0,0,0.00127464395290798,0.000212440658817997,0,10,0,0,0.166666666666667,0,2
"X2.15.2020",13,4,1,1,2,1,0.00138086428231698,0.000424881317635994,0.000106220329408998,8,1,0.0769230769230769,0.307692307692308,2,4
"X2.16.2020",13,4,1,0,0,0,0.00138086428231698,0.000424881317635994,0.000106220329408998,8,0,0.0769230769230769,0.307692307692308,0,4
"X2.17.2020",13,5,1,0,1,0,0.00138086428231698,0.000531101647044992,0.000106220329408998,7,1,0.0769230769230769,0.384615384615385,1,5
