"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X1.22.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.23.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.24.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.25.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.26.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.27.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.28.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.29.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.30.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.31.20",2,0,0,2,0,0,0.000336732649429322,0,0,2,0,0,0,0,0
"X2.1.20",2,0,0,0,0,0,0.000336732649429322,0,0,2,0,0,0,0,0
"X2.2.20",2,0,0,0,0,0,0.000336732649429322,0,0,2,0,0,0,0,0
"X2.3.20",2,0,0,0,0,0,0.000336732649429322,0,0,2,0,0,0,0,0
"X2.4.20",2,0,0,0,0,0,0.000336732649429322,0,0,2,0,0,0,0,0
"X2.5.20",2,0,0,0,0,0,0.000336732649429322,0,0,2,0,0,0,0,0
"X2.6.20",2,0,0,0,0,0,0.000336732649429322,0,0,2,0,0,0,0,0
"X2.7.20",3,0,0,1,0,0,0.000505098974143984,0,0,3,0,0,0,0,0
"X2.8.20",3,0,0,0,0,0,0.000505098974143984,0,0,3,0,0,0,0,0
"X2.9.20",3,0,0,0,0,0,0.000505098974143984,0,0,3,0,0,0,0,0
"X2.10.20",3,0,0,0,0,0,0.000505098974143984,0,0,3,0,0,0,0,0
"X2.11.20",3,0,0,0,0,0,0.000505098974143984,0,0,3,0,0,0,0,0
"X2.12.20",3,0,0,0,0,0,0.000505098974143984,0,0,3,0,0,0,0,0
"X2.13.20",3,0,0,0,0,0,0.000505098974143984,0,0,3,0,0,0,0,0
"X2.14.20",3,0,0,0,0,0,0.000505098974143984,0,0,3,0,0,0,0,0
"X2.15.20",3,0,0,0,0,0,0.000505098974143984,0,0,3,0,0,0,0,0
