"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X1.22.20",2,0,0,0,0,0,0.00015688187853499,0,0,2,0,0,0,0,0
"X1.23.20",2,0,0,0,0,0,0.00015688187853499,0,0,2,0,0,0,0,0
"X1.24.20",2,0,0,0,0,0,0.00015688187853499,0,0,2,0,0,0,0,0
"X1.25.20",2,0,0,0,0,0,0.00015688187853499,0,0,2,0,0,0,0,0
"X1.26.20",4,1,0,2,1,0,0.00031376375706998,7.8440939267495e-05,0,3,1,0,0.25,1,1
"X1.27.20",4,1,0,0,0,0,0.00031376375706998,7.8440939267495e-05,0,3,0,0,0.25,0,1
"X1.28.20",7,1,0,3,0,0,0.000549086574872465,7.8440939267495e-05,0,6,0,0,0.142857142857143,0,1
"X1.29.20",7,1,0,0,0,0,0.000549086574872465,7.8440939267495e-05,0,6,0,0,0.142857142857143,0,1
"X1.30.20",11,1,0,4,0,0,0.000862850331942445,7.8440939267495e-05,0,10,0,0,0.0909090909090909,0,1
"X1.31.20",15,1,0,4,0,0,0.00117661408901242,7.8440939267495e-05,0,14,0,0,0.0666666666666667,0,1
"X2.1.20",20,1,0,5,0,0,0.0015688187853499,7.8440939267495e-05,0,19,0,0,0.05,0,1
"X2.2.20",20,1,0,0,0,0,0.0015688187853499,7.8440939267495e-05,0,19,0,0,0.05,0,1
"X2.3.20",20,1,0,0,0,0,0.0015688187853499,7.8440939267495e-05,0,19,0,0,0.05,0,1
"X2.4.20",22,1,0,2,0,0,0.00172570066388489,7.8440939267495e-05,0,21,0,0,0.0454545454545455,0,1
"X2.5.20",22,1,0,0,0,0,0.00172570066388489,7.8440939267495e-05,0,21,0,0,0.0454545454545455,0,1
"X2.6.20",22,1,0,0,0,0,0.00172570066388489,7.8440939267495e-05,0,21,0,0,0.0454545454545455,0,1
"X2.7.20",25,1,0,3,0,0,0.00196102348168737,7.8440939267495e-05,0,24,0,0,0.04,0,1
"X2.8.20",25,1,0,0,0,0,0.00196102348168737,7.8440939267495e-05,0,24,0,0,0.04,0,1
"X2.9.20",26,1,0,1,0,0,0.00203946442095487,7.8440939267495e-05,0,25,0,0,0.0384615384615385,0,1
"X2.10.20",26,4,0,0,3,0,0.00203946442095487,0.00031376375706998,0,22,1,0,0.153846153846154,3,4
"X2.11.20",26,9,0,0,5,0,0.00203946442095487,0.000705968453407455,0,17,1,0,0.346153846153846,5,9
"X2.12.20",28,9,0,2,0,0,0.00219634629948986,0.000705968453407455,0,19,0,0,0.321428571428571,0,9
"X2.13.20",28,9,1,0,0,1,0.00219634629948986,0.000705968453407455,7.8440939267495e-05,18,0,0.0357142857142857,0.321428571428571,0,9
"X2.14.20",29,9,1,1,0,0,0.00227478723875735,0.000705968453407455,7.8440939267495e-05,19,0,0.0344827586206897,0.310344827586207,0,9
"X2.15.20",43,12,1,14,3,0,0.00337296038850228,0.00094129127120994,7.8440939267495e-05,30,1,0.0232558139534884,0.27906976744186,3,12
"X2.16.20",59,12,1,16,0,0,0.0046280154167822,0.00094129127120994,7.8440939267495e-05,46,0,0.0169491525423729,0.203389830508475,0,12
"X2.17.20",66,12,1,7,0,0,0.00517710199165467,0.00094129127120994,7.8440939267495e-05,53,0,0.0151515151515152,0.181818181818182,0,12
"X2.18.20",74,13,1,8,1,0,0.00580462950579463,0.00101973221047743,7.8440939267495e-05,60,1,0.0135135135135135,0.175675675675676,1,13
