"","Country.Region","lat.x","long.x","Node","lat.y","long.y"
"1","Afghanistan",33,65,"As1",31.9664875,45.4721230555556
"2","Albania",41.1533,20.1683,"Eu6",42.8648236,20.8278477
"3","Algeria",28.0339,1.6596,"Af1",28.4458285714286,13.8527615714286
"4","Andorra",42.5063,1.5218,"Eu2",47.5414,4.42885
"5","Angola",-11.2027,17.8739,"Af2",0.184070521739131,17.2277115652174
"6","Antigua and Barbuda",17.0608,-61.7964,"Am2",15.8596901111111,-72.247411
"7","Argentina",-38.4161,-63.6167,"Am3",-9.46136428571429,-65.4108071428571
"8","Armenia",40.0691,45.0382,"As1",31.9664875,45.4721230555556
"9","Australia",-31.9961875,141.2327875,"Au",-24.231296875,159.534821875
"10","Austria",47.5162,14.5501,"De",48.1186,10.3319
"11","Azerbaijan",40.1431,47.5769,"As1",31.9664875,45.4721230555556
"12","Bahamas",25.0343,-77.3963,"Am2",15.8596901111111,-72.247411
"13","Bahrain",26.0275,50.55,"As1",31.9664875,45.4721230555556
"14","Bangladesh",23.685,90.3563,"As3",19.9906666666667,81.4342833333333
"15","Barbados",13.1939,-59.5432,"Am2",15.8596901111111,-72.247411
"16","Belarus",53.7098,27.9534,"Eu7",53.3575166666667,26.8311666666667
"17","Belgium",50.8333,4,"Eu2",47.5414,4.42885
"18","Belize",13.1939,-59.5432,"Am2",15.8596901111111,-72.247411
"19","Benin",9.3077,2.3158,"Af2",0.184070521739131,17.2277115652174
"20","Bhutan",27.5142,90.4336,"As3",19.9906666666667,81.4342833333333
"21","Bolivia",-16.2902,-63.5887,"Am3",-9.46136428571429,-65.4108071428571
"22","Bosnia and Herzegovina",43.9159,17.6791,"Eu6",42.8648236,20.8278477
"23","Botswana",-22.3285,24.6849,"Af2",0.184070521739131,17.2277115652174
"24","Brazil",-14.235,-51.9253,"Am3",-9.46136428571429,-65.4108071428571
"25","Brunei",4.5353,114.7277,"As5",8.72523209090909,109.552548636364
"26","Bulgaria",42.7339,25.4858,"Eu6",42.8648236,20.8278477
"27","Burkina Faso",12.2383,-1.5616,"Af2",0.184070521739131,17.2277115652174
"28","Burma",21.9162,95.956,"As5",8.72523209090909,109.552548636364
"29","Burundi",-3.3731,29.9189,"Af2",0.184070521739131,17.2277115652174
"30","Cabo Verde",16.5388,-23.0418,"Af2",0.184070521739131,17.2277115652174
"31","Cambodia",11.55,104.9167,"As5",8.72523209090909,109.552548636364
"32","Cameroon",3.848,11.5021,"Af2",0.184070521739131,17.2277115652174
"33","Canada",44.7840466666667,-82.5085933333333,"Am1",35.1695822222222,-93.5914311111111
"34","Central African Republic",6.6111,20.9394,"Af2",0.184070521739131,17.2277115652174
"35","Chad",15.4542,18.7322,"Af2",0.184070521739131,17.2277115652174
"36","Chile",-35.6751,-71.543,"Am3",-9.46136428571429,-65.4108071428571
"37","China",32.8283848484848,111.649081818182,"As4",34.4636282828283,112.165260606061
"38","Colombia",4.5709,-74.2973,"Am3",-9.46136428571429,-65.4108071428571
"39","Congo (Brazzaville)",-4.0383,21.7587,"Af2",0.184070521739131,17.2277115652174
"40","Congo (Kinshasa)",-4.0383,21.7587,"Af2",0.184070521739131,17.2277115652174
"41","Costa Rica",9.7489,-83.7534,"Am2",15.8596901111111,-72.247411
"42","Cote d'Ivoire",7.54,-5.5471,"Af2",0.184070521739131,17.2277115652174
"43","Croatia",45.1,15.2,"Eu6",42.8648236,20.8278477
"44","Cuba",22,-80,"Am2",15.8596901111111,-72.247411
"45","Cyprus",35.1264,33.4299,"As1",31.9664875,45.4721230555556
"46","Czechia",49.8175,15.473,"Eu5",48.74392,17.76318
"47","Denmark",63.2878,-13.3381,"Eu4",63.14458,3.622
"48","Diamond Princess",0,0,"Af2",0.184070521739131,17.2277115652174
"49","Djibouti",11.8251,42.5903,"Af2",0.184070521739131,17.2277115652174
"50","Dominica",15.415,-61.371,"Am2",15.8596901111111,-72.247411
"51","Dominican Republic",18.7357,-70.1627,"Am2",15.8596901111111,-72.247411
"52","Ecuador",-1.8312,-78.1834,"Am3",-9.46136428571429,-65.4108071428571
"53","Egypt",26,30,"Af1",28.4458285714286,13.8527615714286
"54","El Salvador",13.7942,-88.8965,"Am2",15.8596901111111,-72.247411
"55","Equatorial Guinea",1.5,10,"Af2",0.184070521739131,17.2277115652174
