Category: All categories

Day,Coronavirus: (Germany)
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,1
2020-01-21,1
2020-01-22,3
2020-01-23,3
2020-01-24,6
2020-01-25,10
2020-01-26,11
2020-01-27,12
2020-01-28,24
2020-01-29,19
2020-01-30,18
2020-01-31,17
2020-02-01,13
2020-02-02,12
2020-02-03,9
2020-02-04,8
2020-02-05,7
2020-02-06,7
2020-02-07,7
2020-02-08,7
2020-02-09,5
2020-02-10,5
2020-02-11,5
2020-02-12,6
2020-02-13,7
2020-02-14,5
2020-02-15,6
2020-02-16,5
2020-02-17,5
2020-02-18,4
2020-02-19,4
2020-02-20,4
2020-02-21,4
2020-02-22,7
2020-02-23,16
2020-02-24,20
2020-02-25,30
2020-02-26,51
2020-02-27,57
2020-02-28,59
2020-02-29,49
2020-03-01,46
2020-03-02,46
2020-03-03,40
2020-03-04,39
2020-03-05,40
2020-03-06,39
2020-03-07,36
2020-03-08,46
2020-03-09,49
2020-03-10,55
2020-03-11,61
2020-03-12,75
2020-03-13,87
2020-03-14,84
2020-03-15,83
2020-03-16,77
2020-03-17,67
2020-03-18,65
2020-03-19,58
2020-03-20,55
2020-03-21,57
2020-03-22,100
2020-03-23,46
2020-03-24,39
2020-03-25,38
2020-03-26,34
2020-03-27,35
2020-03-28,39
2020-03-29,34
2020-03-30,30
2020-03-31,24
2020-04-01,23
2020-04-02,24
2020-04-03,53
2020-04-04,54
2020-04-05,54
2020-04-06,31
2020-04-07,28
