Category: All categories

Day,Coronavirus: (Italy)
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,<1
2020-01-22,1
2020-01-23,2
2020-01-24,2
2020-01-25,3
2020-01-26,4
2020-01-27,4
2020-01-28,8
2020-01-29,7
2020-01-30,15
2020-01-31,22
2020-02-01,12
2020-02-02,8
2020-02-03,6
2020-02-04,5
2020-02-05,4
2020-02-06,4
2020-02-07,4
2020-02-08,4
2020-02-09,4
2020-02-10,4
2020-02-11,5
2020-02-12,4
2020-02-13,4
2020-02-14,4
2020-02-15,4
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,2
2020-02-21,38
2020-02-22,74
2020-02-23,100
2020-02-24,90
2020-02-25,73
2020-02-26,58
2020-02-27,47
2020-02-28,42
2020-02-29,42
2020-03-01,39
2020-03-02,38
2020-03-03,40
2020-03-04,59
2020-03-05,52
2020-03-06,56
2020-03-07,67
2020-03-08,76
2020-03-09,79
2020-03-10,76
2020-03-11,76
2020-03-12,72
2020-03-13,64
2020-03-14,62
2020-03-15,65
2020-03-16,57
2020-03-17,54
2020-03-18,53
2020-03-19,54
2020-03-20,55
2020-03-21,57
2020-03-22,56
2020-03-23,46
2020-03-24,43
2020-03-25,42
2020-03-26,41
2020-03-27,40
2020-03-28,40
2020-03-29,39
2020-03-30,33
2020-03-31,31
2020-04-01,29
2020-04-02,28
2020-04-03,33
2020-04-04,42
2020-04-05,40
2020-04-06,29
2020-04-07,28
