Category: All categories

Day,Coronavirus: (Japan)
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,3
2020-01-17,1
2020-01-18,1
2020-01-19,1
2020-01-20,2
2020-01-21,4
2020-01-22,5
2020-01-23,8
2020-01-24,12
2020-01-25,15
2020-01-26,18
2020-01-27,22
2020-01-28,35
2020-01-29,38
2020-01-30,41
2020-01-31,34
2020-02-01,21
2020-02-02,17
2020-02-03,18
2020-02-04,16
2020-02-05,17
2020-02-06,15
2020-02-07,16
2020-02-08,12
2020-02-09,11
2020-02-10,12
2020-02-11,11
2020-02-12,14
2020-02-13,20
2020-02-14,25
2020-02-15,22
2020-02-16,19
2020-02-17,26
2020-02-18,22
2020-02-19,25
2020-02-20,29
2020-02-21,32
2020-02-22,32
2020-02-23,31
2020-02-24,36
2020-02-25,49
2020-02-26,53
2020-02-27,64
2020-02-28,57
2020-02-29,46
2020-03-01,40
2020-03-02,40
2020-03-03,37
2020-03-04,38
2020-03-05,38
2020-03-06,37
2020-03-07,39
2020-03-08,35
2020-03-09,37
2020-03-10,34
2020-03-11,32
2020-03-12,35
2020-03-13,32
2020-03-14,30
2020-03-15,27
2020-03-16,27
2020-03-17,28
2020-03-18,28
2020-03-19,25
2020-03-20,24
2020-03-21,22
2020-03-22,27
2020-03-23,29
2020-03-24,28
2020-03-25,36
2020-03-26,41
2020-03-27,42
2020-03-28,43
2020-03-29,42
2020-03-30,54
2020-03-31,55
2020-04-01,60
2020-04-02,62
2020-04-03,67
2020-04-04,100
2020-04-05,93
2020-04-06,58
2020-04-07,57
