Category: All categories

Day,Coronavirus: (Russia)
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,1
2020-01-22,3
2020-01-23,4
2020-01-24,5
2020-01-25,6
2020-01-26,6
2020-01-27,7
2020-01-28,8
2020-01-29,7
2020-01-30,7
2020-01-31,11
2020-02-01,9
2020-02-02,6
2020-02-03,5
2020-02-04,5
2020-02-05,5
2020-02-06,4
2020-02-07,4
2020-02-08,4
2020-02-09,3
2020-02-10,3
2020-02-11,2
2020-02-12,2
2020-02-13,2
2020-02-14,2
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,1
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,3
2020-02-25,3
2020-02-26,4
2020-02-27,4
2020-02-28,5
2020-02-29,4
2020-03-01,5
2020-03-02,7
2020-03-03,6
2020-03-04,5
2020-03-05,5
2020-03-06,5
2020-03-07,5
2020-03-08,5
2020-03-09,5
2020-03-10,6
2020-03-11,8
2020-03-12,14
2020-03-13,15
2020-03-14,18
2020-03-15,19
2020-03-16,30
2020-03-17,32
2020-03-18,26
2020-03-19,24
2020-03-20,22
2020-03-21,22
2020-03-22,24
2020-03-23,23
2020-03-24,27
2020-03-25,31
2020-03-26,36
2020-03-27,39
2020-03-28,42
2020-03-29,46
2020-03-30,44
2020-03-31,100
2020-04-01,45
2020-04-02,47
2020-04-03,69
2020-04-04,64
2020-04-05,61
2020-04-06,49
2020-04-07,41
