Category: All categories

Day,Coronavirus: (South Korea)
2020-01-10,<1
2020-01-11,<1
2020-01-12,0
2020-01-13,0
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,1
2020-01-21,2
2020-01-22,2
2020-01-23,6
2020-01-24,8
2020-01-25,11
2020-01-26,12
2020-01-27,17
2020-01-28,21
2020-01-29,17
2020-01-30,17
2020-01-31,22
2020-02-01,17
2020-02-02,17
2020-02-03,14
2020-02-04,13
2020-02-05,14
2020-02-06,13
2020-02-07,13
2020-02-08,9
2020-02-09,8
2020-02-10,8
2020-02-11,8
2020-02-12,7
2020-02-13,6
2020-02-14,5
2020-02-15,5
2020-02-16,5
2020-02-17,5
2020-02-18,5
2020-02-19,9
2020-02-20,15
2020-02-21,18
2020-02-22,21
2020-02-23,20
2020-02-24,20
2020-02-25,16
2020-02-26,15
2020-02-27,14
2020-02-28,13
2020-02-29,13
2020-03-01,10
2020-03-02,9
2020-03-03,9
2020-03-04,8
2020-03-05,9
2020-03-06,7
2020-03-07,8
2020-03-08,9
2020-03-09,9
2020-03-10,9
2020-03-11,8
2020-03-12,10
2020-03-13,11
2020-03-14,10
2020-03-15,11
2020-03-16,12
2020-03-17,10
2020-03-18,10
2020-03-19,9
2020-03-20,10
2020-03-21,10
2020-03-22,11
2020-03-23,9
2020-03-24,9
2020-03-25,9
2020-03-26,10
2020-03-27,13
2020-03-28,13
2020-03-29,12
2020-03-30,11
2020-03-31,10
2020-04-01,10
2020-04-02,10
2020-04-03,35
2020-04-04,100
2020-04-05,77
2020-04-06,17
2020-04-07,19
