Category: All categories

Day,Coronavirus: (Worldwide)
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,1
2020-01-21,2
2020-01-22,4
2020-01-23,6
2020-01-24,9
2020-01-25,12
2020-01-26,13
2020-01-27,14
2020-01-28,17
2020-01-29,16
2020-01-30,19
2020-01-31,19
2020-02-01,14
2020-02-02,12
2020-02-03,10
2020-02-04,9
2020-02-05,9
2020-02-06,9
2020-02-07,9
2020-02-08,9
2020-02-09,8
2020-02-10,8
2020-02-11,8
2020-02-12,7
2020-02-13,8
2020-02-14,7
2020-02-15,6
2020-02-16,6
2020-02-17,6
2020-02-18,5
2020-02-19,5
2020-02-20,5
2020-02-21,8
2020-02-22,13
2020-02-23,19
2020-02-24,22
2020-02-25,26
2020-02-26,31
2020-02-27,31
2020-02-28,32
2020-02-29,29
2020-03-01,27
2020-03-02,33
2020-03-03,33
2020-03-04,36
2020-03-05,36
2020-03-06,38
2020-03-07,35
2020-03-08,39
2020-03-09,49
2020-03-10,56
2020-03-11,66
2020-03-12,94
2020-03-13,95
2020-03-14,90
2020-03-15,100
2020-03-16,100
2020-03-17,96
2020-03-18,92
2020-03-19,88
2020-03-20,85
2020-03-21,89
2020-03-22,94
2020-03-23,84
2020-03-24,78
2020-03-25,75
2020-03-26,73
2020-03-27,74
2020-03-28,74
2020-03-29,71
2020-03-30,61
2020-03-31,63
2020-04-01,58
2020-04-02,58
2020-04-03,72
2020-04-04,80
2020-04-05,78
2020-04-06,66
2020-04-07,64
