Category: All categories

Day,covid19: (Italy)
2019-12-29,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,2
2020-02-13,<1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,<1
2020-02-18,1
2020-02-19,<1
2020-02-20,<1
2020-02-21,4
2020-02-22,9
2020-02-23,10
2020-02-24,10
2020-02-25,9
2020-02-26,7
2020-02-27,6
2020-02-28,6
2020-02-29,6
2020-03-01,7
2020-03-02,11
2020-03-03,12
2020-03-04,13
2020-03-05,19
2020-03-06,17
2020-03-07,22
2020-03-08,33
2020-03-09,41
2020-03-10,40
2020-03-11,45
2020-03-12,45
2020-03-13,42
2020-03-14,52
2020-03-15,59
2020-03-16,100
2020-03-17,87
2020-03-18,58
2020-03-19,53
2020-03-20,52
2020-03-21,56
2020-03-22,60
2020-03-23,55
2020-03-24,55
